,ExpressId,GlobalId,Class,PredefinedType,Name,Level,Type,Pset_StairFlightCommon.TreadLengthAtOffset,Pset_StairCommon.IsExternal,Pset_ReinforcementBarPitchOfWall.Reference,Pset_StairCommon.NumberOfRiser,Qto_BeamBaseQuantities.CrossSectionArea,Qto_ColumnBaseQuantities.CrossSectionArea,Qto_MemberBaseQuantities.OuterSurfaceArea,Pset_StairCommon.RiserHeight,Pset_ColumnCommon.LoadBearing,Pset_DoorCommon.Reference,Pset_StairFlightCommon.NumberOfTreads,Pset_WindowCommon.Reference,Pset_WallCommon.IsExternal,Qto_DoorBaseQuantities.Height,Qto_BeamBaseQuantities.GrossVolume,Qto_MemberBaseQuantities.GrossVolume,Pset_StairFlightCommon.TreadLengthAtInnerSide,Pset_BeamCommon.LoadBearing,Qto_StairFlightBaseQuantities.Length,Pset_StairFlightCommon.RiserHeight,Qto_BeamBaseQuantities.Length,Pset_StairFlightCommon.NumberOfRiser,Qto_WindowBaseQuantities.Width,Qto_MemberBaseQuantities.NetSurfaceArea,Qto_SlabBaseQuantities.NetArea,Qto_RailingBaseQuantities.Length,Qto_ColumnBaseQuantities.OuterSurfaceArea,Qto_WallBaseQuantities.Length,Qto_MemberBaseQuantities.Length,Pset_BuildingElementProxyCommon.IsExternal,Pset_StairCommon.NumberOfTreads,Pset_ReinforcementBarPitchOfSlab.Reference,Pset_WallCommon.Reference,Pset_BeamCommon.Span,Pset_MemberCommon.Slope,Pset_SlabCommon.LoadBearing,Qto_BeamBaseQuantities.OuterSurfaceArea,Pset_SlabCommon.ThermalTransmittance,Pset_WindowCommon.ThermalTransmittance,Pset_RailingCommon.Reference,Pset_RailingCommon.Height,Qto_SlabBaseQuantities.Width,Qto_StairFlightBaseQuantities.NetVolume,Qto_SlabBaseQuantities.Perimeter,Pset_StairFlightCommon.Reference,Qto_WallBaseQuantities.Width,Qto_DoorBaseQuantities.Width,Qto_SlabBaseQuantities.NetVolume,Pset_SlabCommon.PitchAngle,Qto_WallBaseQuantities.NetSideArea,Pset_WallCommon.ThermalTransmittance,Qto_SlabBaseQuantities.GrossArea,Qto_WindowBaseQuantities.Area,Qto_WallBaseQuantities.GrossFootprintArea,Pset_StairCommon.Reference,Pset_MemberCommon.IsExternal,Pset_WindowCommon.FireRating,Qto_WallBaseQuantities.NetVolume,Qto_BeamBaseQuantities.NetVolume,Pset_MemberCommon.Reference,Qto_StairFlightBaseQuantities.GrossVolume,Pset_RailingCommon.IsExternal,Pset_BeamCommon.Roll,Pset_ColumnCommon.IsExternal,Pset_StairCommon.NosingLength,Qto_MemberBaseQuantities.NetVolume,Pset_StairCommon.TreadLength,Pset_ColumnCommon.Slope,Qto_WindowBaseQuantities.Height,Pset_StairFlightCommon.NosingLength,Pset_DoorCommon.IsExternal,Pset_EnvironmentalImpactIndicators.Reference,Qto_DoorBaseQuantities.Area,Qto_ColumnBaseQuantities.Length,Pset_ReinforcementBarPitchOfColumn.Reference,Pset_WallCommon.ExtendToStructure,Pset_SlabCommon.Reference,Qto_SlabBaseQuantities.GrossVolume,Pset_BuildingElementProxyCommon.Reference,Pset_WallCommon.LoadBearing,Pset_StairCommon.TreadLengthAtOffset,Qto_BeamBaseQuantities.NetSurfaceArea,Pset_StairFlightCommon.TreadLength,Qto_MemberBaseQuantities.CrossSectionArea,Pset_BeamCommon.Slope,Pset_SlabCommon.IsExternal,Pset_ReinforcementBarPitchOfBeam.Reference,Pset_StairCommon.WalkingLineOffset,Pset_ColumnCommon.Reference,Qto_WallBaseQuantities.Height,Qto_MemberBaseQuantities.GrossSurfaceArea,Pset_WindowCommon.IsExternal,Pset_OpeningElementCommon.Reference,Pset_BeamCommon.IsExternal,Pset_BeamCommon.Reference,Pset_ManufacturerTypeInformation.Manufacturer,Qto_BeamBaseQuantities.GrossSurfaceArea,Pset_StairFlightCommon.WalkingLineOffset,Qto_ColumnBaseQuantities.GrossVolume,Pset_StairCommon.TreadLengthAtInnerSide
0,561,0WVj9KjC13RO1aj0KqPpHQ,IfcWall,SOLIDWALL,BLK01.063,Sous-Sol,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,3842.12759802427,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,29.4201612577353,,,,0.960531899506066,,,,3.22738718234038,,,,,,,,,,,,,,250XTERNAL,,,,True,,,,False,,,,,,,,,,3360.0,,,,,,,,,,
1,843,0WVj9KjC13RO1al0GqPold,IfcWall,SOLIDWALL,BLK01.014,Ground Floor,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,5070.0,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,30.47539488,,,,1.2675,,,,3.08609936,,,,,,,,,,,,,,250XTERNAL,,,,False,,,,False,,,,,,,,,,3000.0,,,,,,,,,,
2,916,0WVj9KjC13RO1al0GqPogC,IfcWall,SOLIDWALL,BLK01.015,Ground Floor,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,21628.6362361933,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,163.901193226184,,,,5.40500115398526,,,,18.9175040389484,,,,,,,,,,,,,,250XTERNAL,,,,False,,,,False,,,,,,,,,,3500.0,,,,,,,,,,
3,983,0WVj9KjC13RO1al0GqPoXK,IfcWall,SOLIDWALL,BLK01.016,Ground Floor,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,4771.60415089299,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,37.4947924205527,,,,1.1914621804191,,,,4.17011763146687,,,,,,,,,,,,,,250XTERNAL,,,,False,,,,False,,,,,,,,,,3500.0,,,,,,,,,,
4,1043,0WVj9KjC13RO1al0GqPoWg,IfcWall,SOLIDWALL,BLK01.017,Ground Floor,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,11847.6691583065,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,90.6075186872984,,,,2.96191728957666,,,,10.3667105135181,,,,,,,,,,,,,,250XTERNAL,,,,False,,,,False,,,,,,,,,,3500.0,,,,,,,,,,
5,1111,0WVj9KjC13RO1aj0KqPzjt,IfcWall,SOLIDWALL,BLK01.018,Ground Floor,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,4619.01153701777,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,36.7521488107114,,,,1.15475288425444,,,,3.70236969615621,,,,,,,,,,,,,,250XTERNAL,,,,True,,,,False,,,,,,,,,,3800.00000000035,,,,,,,,,,
6,1265,0WVj9KjC13RO1aj0KqPzlL,IfcWall,SOLIDWALL,BLK01.019,Ground Floor,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,1545.0,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,12.2605000000012,,,,0.386249999999999,,,,1.23600000000013,,,,,,,,,,,,,,250XTERNAL,,,,True,,,,False,,,,,,,,,,3200.00000000035,,,,,,,,,,
7,1337,0WVj9KjC13RO1aj0OqPzlL,IfcWall,SOLIDWALL,BLK01.047,Level 1 -  Lower,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,1545.0,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,1.3469,,,,0.386249999999999,,,,0.0618000000000009,,,,,,,,,,,,,,250XTERNAL,,,,True,,,,False,,,,,,,,,,160.0,,,,,,,,,,
8,1422,0WVj9KjC13RO1aj0KqPzeU,IfcWall,SOLIDWALL,BLK01.020,Ground Floor,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,3627.69119345812,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,31.2842986670134,,,,0.906922798364528,,,,3.44630663378553,,,,,,,,,,,,,,250XTERNAL,,,,False,,,,False,,,,,,,,,,3800.00000000035,,,,,,,,,,
9,1473,0WVj9KjC13RO1aj0OqPzeU,IfcWall,SOLIDWALL,BLK01.048,Level 1 -  Lower,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,3627.69119345812,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,4.91599855149555,,,,0.906922798364528,,,,0.36276911934581,,,,,,,,,,,,,,250XTERNAL,,,,False,,,,False,,,,,,,,,,399.999999999999,,,,,,,,,,
10,1563,2sEeFec9X798gqtBCDTS_X,IfcWall,SOLIDWALL,BLK01.021,Ground Floor,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,3439.50972957581,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,6.11018003319528,,,,0.797377432393949,,,,0.508105275694309,,,,,,,,,,,,,,250XTERNAL,,,,False,,,,False,,,,,,,,,,637.220537040828,,,,,,,,,,
11,1632,2sEeFec9X798gqtBCDTSn$,IfcWall,SOLIDWALL,BLK01.022,Ground Floor,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,1793.46717087976,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,5.70398704526977,,,,0.385866792719939,,,,0.501626830535922,,,,,,,,,,,,,,250XTERNAL,,,,False,,,,False,,,,,,,,,,1300.0,,,,,,,,,,
12,1701,2sEeFec9X798gqtBCDTSpt,IfcWall,SOLIDWALL,BLK01.023,Ground Floor,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,1228.15367264151,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,4.03131520073116,,,,0.245438418160372,,,,0.319069943608488,,,,,,,,,,,,,,250XTERNAL,,,,False,,,,False,,,,,,,,,,1300.0,,,,,,,,,,
13,1776,2sEeFec9X798gqrB8DTSrU,IfcWall,SOLIDWALL,BLK01.024,Ground Floor,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,2076.77669529664,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,8.19863004744684,,,,0.487944173824159,,,,0.47392135623748,,,,,,,,,,,,,,250XTERNAL,,,,True,,,,False,,,,,,,,,,3200.00000000035,,,,,,,,,,
14,1857,2sEeFec9X798gqrB4DTSrU,IfcWall,SOLIDWALL,BLK01.049,Level 1 -  Lower,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,2076.77669529664,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,1.69702543263816,,,,0.487944173824159,,,,0.0780710678118643,,,,,,,,,,,,,,250XTERNAL,,,,True,,,,False,,,,,,,,,,160.0,,,,,,,,,,
15,1945,2sEeFec9X798gqrB8DTSqY,IfcWall,SOLIDWALL,BLK01.025,Ground Floor,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,749.720420448921,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,6.24194175099667,,,,0.15618010511223,,,,0.499776336359191,,,,,,,,,,,,,,250XTERNAL,,,,True,,,,False,,,,,,,,,,3200.00000000035,,,,,,,,,,
16,2018,2sEeFec9X798gqrB4DTSqY,IfcWall,SOLIDWALL,BLK01.050,Level 1 -  Lower,Basic Wall:250XTERNAL,,,250XTERNAL,,,,,,,,,,True,,,,,,,,,,,,,,,749.720420448921,,,,,250XTERNAL,,,,,,,,,,,,,250.0,,,,0.60883928726304,,,,0.15618010511223,,,,0.0249888168179569,,,,,,,,,,,,,,250XTERNAL,,,,True,,,,False,,,,,,,,,,160.0,,,,,,,,,,
